Unnamed: 0,max_degree,depth,outer_loops,0.1,0.5,0.75,0.8,0.9,0.95,1
conf_8_0.4_type_bfs_sample_0,3,4,6,8205799.33195945,89.9999999993975,14.8056698673376,12.1682739255833,8.90386912383884,7.83931670983231,7.00000000004085
conf_8_0.4_type_dfs_sample_0,4,5,6,10776745.8017144,107.99999999925,15.996342021063,12.9263305662656,9.16807531052937,7.95336750207198,7.00000000012413
conf_8_0.4_type_bfs_sample_1,5,4,5,9201139.89992584,147.411764705867,18.7482821152967,14.4933728548234,9.56631016786815,8.09481756690326,6.99999999993841
conf_8_0.4_type_dfs_sample_1,3,7,5,12706392.3818934,66.0000000001192,13.6643804297042,11.5274047847419,8.73263656929013,7.77452889108129,6.99999999996765
conf_8_0.4_type_bfs_sample_2,3,4,9,8290519.06858667,102.666666667291,15.6912665752953,12.6299111672493,8.98005889906346,7.85474733107399,7.00000000002149
conf_8_0.4_type_dfs_sample_2,2,8,2,7277891.61797439,56.0000000000068,13.0004572473309,11.1111450193296,8.59375003263479,7.71604938256476,7.00000000003381
conf_8_0.4_type_bfs_sample_3,4,4,8,8291230.00008891,102.000000000641,15.6616369456348,12.6809692379916,9.05797842289448,7.9008651373032,7.00000000006607
conf_8_0.4_type_dfs_sample_3,2,8,2,11638407.8507053,55.9999999995694,13.0004572473386,11.1111450193045,8.59375003266121,7.7160493825789,6.99999999998968
conf_8_0.4_type_bfs_sample_4,4,4,5,8370282.57111496,114.800000000686,16.2006358928125,12.9347108987878,9.09311515514668,7.90747023238768,6.99999999994973
conf_8_0.4_type_dfs_sample_4,4,4,5,8370282.57111496,114.800000000686,16.2006358928125,12.9347108987878,9.09311515514668,7.90747023238768,6.99999999994973
conf_10_0.3_type_bfs_sample_0,3,5,8,1252318917.96317,181.501938501298,18.9838331446974,15.4362211288442,11.3056354325714,10.0101629752645,8.99999999988551
conf_10_0.3_type_dfs_sample_0,3,9,5,1134493477.45227,119.999999999978,17.959050957745,14.9907875058765,11.2497830232558,9.99999097524209,9.00000000003996
conf_10_0.3_type_bfs_sample_1,4,4,8,883237717.406954,233.777777778186,21.0164516542376,16.6872909579589,11.7206588236531,10.1853607064112,9.00000000000506
conf_10_0.3_type_dfs_sample_1,3,8,8,662493832.768343,162.000000000397,19.1558197429212,15.6460762019065,11.4214172341739,10.0647962917486,8.99999999994254
conf_10_0.3_type_bfs_sample_2,4,4,6,1502654258.28943,228.389610389599,21.0638979097261,16.6855654590528,11.712294035419,10.1829444644806,9.00000000000892
conf_10_0.3_type_dfs_sample_2,4,6,11,600306933.757557,240.000000000327,21.4463242391445,16.8973731991173,11.7524879793851,10.1916444694218,8.99999999998134
conf_10_0.3_type_bfs_sample_3,4,4,9,811913217.429682,271.090909092092,22.2599879735305,17.3384670802017,11.8836967347136,10.247735903816,8.9999999999761
conf_10_0.3_type_dfs_sample_3,2,10,2,268807565.8234,89.9999999999687,17.000050805258,14.4444465634028,11.0937500003887,9.93827160460245,9.00000000007941
conf_10_0.3_type_bfs_sample_4,5,5,5,1608956577.01979,365.281516842479,25.4237828107748,18.9578768199617,12.2007282090667,10.3410481773065,8.99999999996601
conf_10_0.3_type_dfs_sample_4,3,9,5,474449220.543358,114.000000000295,17.8877203678216,14.9651527401628,11.2480706976647,9.99982900559419,9.00000000008326
conf_10_0.5_type_bfs_sample_0,7,3,5,920213566.441217,578.000000002979,33.835289335948,23.7856483455894,13.5969306722614,10.8956510899034,9.00000000002344
conf_10_0.5_type_dfs_sample_0,3,8,8,1124633632.99843,119.999999999307,17.9590509577098,14.9907875056269,11.2497830230708,9.99999097505887,8.99999999987169
conf_10_0.5_type_bfs_sample_1,6,3,6,911011229.978156,486.00000000453,29.5261901132525,21.342716216451,12.9289146346627,10.6397302567335,9.00000000000949
conf_10_0.5_type_dfs_sample_1,2,10,2,305366233.447312,89.9999999998008,17.0000508052642,14.4444465634262,11.0937500003597,9.93827160460853,9.00000000007501
conf_10_0.5_type_bfs_sample_2,6,4,6,911012140.805224,491.90769230539,30.4557767108907,21.8506910243973,13.0064328302174,10.6538247780401,8.99999999997836
conf_10_0.5_type_dfs_sample_2,3,8,5,296214935.678461,130.888888888837,18.4455495465042,15.2455019507412,11.2932808321696,10.0090122812626,8.99999999991141
conf_10_0.5_type_bfs_sample_3,4,3,6,828209414.245943,349.306715063903,24.5189918268443,18.5042611236673,12.132877552117,10.3280280744714,8.999999999938
conf_10_0.5_type_dfs_sample_3,3,9,3,410740104.272455,103.999999999899,17.6664126403528,14.8610877987776,11.2326388602228,9.99675113669764,9.00000000006579
conf_10_0.5_type_bfs_sample_4,4,4,5,836672496.40083,284.727253787525,22.6302081002324,17.3341249316052,11.73180222973,10.1557567316598,8.99999999973289
conf_10_0.5_type_dfs_sample_4,3,9,5,301481872.201126,119.999999999919,17.9590509576791,14.9907875057821,11.2497830232249,9.99999097512822,9.00000000006982
